COD_ROD;KM_ini.1;KM_FIM;Dist;Geo2
SP 008;113,15;120,91;7,76;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5608529,-22.7838049],[-46.5613849,-22.7830689],[-46.5621979,-22.7824429],[-46.5630989,-22.7814589],[-46.5634109,-22.7808259],[-46.5634989,-22.7802039],[-46.5632979,-22.7767369],[-46.5632679,-22.7762229],[-46.5631549,-22.7754439],[-46.5628789,-22.7747469],[-46.5620689,-22.7734889],[-46.5589199,-22.7709039],[-46.5583509,-22.7703059],[-46.5579879,-22.7691999],[-46.5576869,-22.7682839],[-46.5577239,-22.7676029],[-46.5579969,-22.7669739],[-46.5588119,-22.7658989],[-46.5590829,-22.7653209],[-46.5591339,-22.7647369],[-46.5590269,-22.7602379],[-46.5590039,-22.7593119],[-46.5590319,-22.7585859],[-46.5593329,-22.7564569],[-46.5593249,-22.7557409],[-46.5588769,-22.7543829],[-46.5587899,-22.7536719],[-46.5590009,-22.7529769],[-46.5594739,-22.7523759],[-46.5605099,-22.7516009],[-46.5615289,-22.7508399],[-46.5627719,-22.7496509],[-46.5631409,-22.7491299],[-46.5633179,-22.7485139],[-46.5635209,-22.7432929],[-46.5637069,-22.7384889],[-46.5638669,-22.7369199],[-46.5644689,-22.7342659],[-46.5645789,-22.7340409],[-46.5647619,-22.7336679],[-46.5658629,-22.7327749],[-46.5663209,-22.7322149],[-46.5664729,-22.7315309],[-46.5664819,-22.7301529],[-46.5666169,-22.7295099],[-46.5670919,-22.7281309],[-46.5670839,-22.7274499],[-46.5665889,-22.7254769],[-46.5656599,-22.7217679],[-46.5653589,-22.7210869],[-46.5643199,-22.7194839],[-46.5641289,-22.7190749],[-46.5639089,-22.7184599],[-46.5638749,-22.7174619]]]}"
SP 008;120,91;132;11,09;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5638749,-22.7174619],[-46.5640279,-22.7166219],[-46.5656459,-22.7077919],[-46.5656089,-22.7072799],[-46.5655019,-22.7057869],[-46.5640609,-22.7011459],[-46.5641909,-22.7000629],[-46.5650799,-22.6981769],[-46.5661889,-22.6958239],[-46.5669489,-22.6916929],[-46.5683339,-22.6903039],[-46.5686539,-22.6895749],[-46.5686569,-22.6895369],[-46.5687109,-22.6889559],[-46.5681189,-22.6845949],[-46.5677789,-22.6837509],[-46.5671399,-22.6830349],[-46.5655469,-22.6818019],[-46.5651589,-22.6811489],[-46.5628199,-22.6772119],[-46.5599519,-22.6729949],[-46.5595159,-22.6723559],[-46.5543609,-22.6650539],[-46.5533219,-22.6635819],[-46.5521619,-22.6632869],[-46.5509639,-22.6635049],[-46.5498299,-22.6632599],[-46.5464639,-22.6621199],[-46.5454899,-22.6615009],[-46.5450109,-22.6611999],[-46.5445269,-22.6605329],[-46.5441749,-22.6590639],[-46.5448259,-22.6562959],[-46.5445579,-22.6553909],[-46.5433709,-22.6528499],[-46.5433199,-22.6527739],[-46.5420449,-22.6508449],[-46.5394729,-22.6476659],[-46.5389939,-22.6466459],[-46.5384229,-22.6445829],[-46.5370859,-22.6397609],[-46.5366729,-22.6387179],[-46.5354339,-22.6367999],[-46.5352569,-22.6356629],[-46.5350069,-22.6340699],[-46.5339569,-22.6323099],[-46.5337039,-22.6312979],[-46.5343899,-22.6283359],[-46.5344239,-22.6265529]]]}"
SP 008;132;133,5;1,5;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5344239,-22.6265529],[-46.5344799,-22.6235119],[-46.5339959,-22.6212819],[-46.5320909,-22.6175219],[-46.5316849,-22.6167199],[-46.5310049,-22.6129219]]]}"
SP 008;133,5;140,9;7,4;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5310049,-22.6129219],[-46.5306979,-22.6119369],[-46.5301659,-22.6109969],[-46.5292939,-22.6103269],[-46.5287279,-22.6102219],[-46.5281699,-22.6101189],[-46.5271429,-22.6096689],[-46.5265689,-22.6087469],[-46.5254749,-22.6042849],[-46.5254039,-22.6041849],[-46.5248639,-22.6034079],[-46.5211969,-22.6003969],[-46.5193729,-22.5995609],[-46.5190689,-22.5994219],[-46.5184579,-22.5985169],[-46.5180929,-22.5974349],[-46.5160209,-22.5943629],[-46.5158049,-22.5932779],[-46.5158329,-22.5931839],[-46.5164149,-22.5911829],[-46.5163929,-22.5901149],[-46.5158949,-22.5859469],[-46.5156249,-22.5836729],[-46.5156719,-22.5826979],[-46.5162239,-22.5817899],[-46.5169049,-22.5808599],[-46.5178219,-22.5801719],[-46.5186999,-22.5801199],[-46.5214299,-22.5799579],[-46.5256429,-22.5783509],[-46.5261609,-22.5779949],[-46.5294509,-22.5757419],[-46.5307199,-22.5754339],[-46.5318649,-22.5742239]]]}"
SP 015;14,085;16,385;2,3;"{""type"":""MultiLineString"",""coordinates"":[[[-46.7005129,-23.5721709],[-46.7043519,-23.5627939],[-46.7050159,-23.5617949],[-46.7056709,-23.5610829],[-46.7063939,-23.5603899],[-46.7073849,-23.5596599],[-46.7079029,-23.5593729]]]}"
SP 015;16,385;17,485;1,1;"{""type"":""MultiLineString"",""coordinates"":[[[-46.7079029,-23.5593729],[-46.7103209,-23.5582679],[-46.7113495,-23.5577533],[-46.7179129,-23.5544689]]]}"
SP 015;17,485;24,485;7;"{""type"":""MultiLineString"",""coordinates"":[[[-46.7179129,-23.5544689],[-46.7265729,-23.5502319],[-46.7293569,-23.5485729],[-46.7313319,-23.5475949],[-46.7323619,-23.5469039],[-46.7340714,-23.5453861],[-46.7459859,-23.5348069],[-46.7471399,-23.5336119],[-46.7476379,-23.5328309],[-46.7479329,-23.5318939],[-46.7479029,-23.5276249],[-46.7474219,-23.5253549]]]}"
SP 015;24,485;25,6;1,115;"{""type"":""MultiLineString"",""coordinates"":[[[-46.7474219,-23.5253549],[-46.7473789,-23.5235579],[-46.7471039,-23.5224619],[-46.7461659,-23.5205129],[-46.7457069,-23.5199559],[-46.7448239,-23.5192369],[-46.7438499,-23.5187229],[-46.7430879,-23.5185189],[-46.7421389,-23.5183969],[-46.741386,-23.5184267]]]}"
SP 015;25,6;27,585;1,985;"{""type"":""MultiLineString"",""coordinates"":[[[-46.741386,-23.5184267],[-46.7412739,-23.5184311],[-46.7334509,-23.5187399],[-46.7323309,-23.5186389],[-46.7315409,-23.5184599],[-46.7306539,-23.5180869],[-46.7281519,-23.5167109],[-46.7262949,-23.5155189]]]}"
SP 015;27,485;28,485;1;"{""type"":""MultiLineString"",""coordinates"":[[[-46.7262949,-23.5155189],[-46.7228049,-23.5137079],[-46.7222499,-23.5132889],[-46.7201819,-23.5102899]]]}"
